_id,AgeGroup,Sex,WorldStandardPopulation
1,0-4 years,Male,12000
2,0-4 years,Female,12000
3,5-9 years,Male,10000
4,5-9 years,Female,10000
5,10-14 years,Male,9000
6,10-14 years,Female,9000
7,15-19 years,Male,9000
8,15-19 years,Female,9000
9,20-24 years,Male,8000
10,20-24 years,Female,8000
11,25-29 years,Male,8000
12,25-29 years,Female,8000
13,30-34 years,Male,6000
14,30-34 years,Female,6000
15,35-39 years,Male,6000
16,35-39 years,Female,6000
17,40-44 years,Male,6000
18,40-44 years,Female,6000
19,45-49 years,Male,6000
20,45-49 years,Female,6000
21,50-54 years,Male,5000
22,50-54 years,Female,5000
23,55-59 years,Male,4000
24,55-59 years,Female,4000
25,60-64 years,Male,4000
26,60-64 years,Female,4000
27,65-69 years,Male,3000
28,65-69 years,Female,3000
29,70-74 years,Male,2000
30,70-74 years,Female,2000
31,75-79 years,Male,1000
32,75-79 years,Female,1000
33,80-84 years,Male,500
34,80-84 years,Female,500
35,85plus years,Male,500
36,85plus years,Female,500
